Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
2987;Zalewska, T. (2012). Distribution of 137Cs in benthic plants along depth profiles in the outer Puck Bay (Baltic Sea). Journal of Radioanalytical and Nuclear Chemistry, 293(2), 679?688. https://doi.org/10.1007/s10967-012-1723-0;Reviewer 5;bioaccumulation efficiency of macroalgae;Include;Include;Bioindicator;Macroalgae;Macroalgae;Polysiphonia;Polysiphonia fucoides;Bioindicator for 137Cs;Field;Observational;Gdansk Basin;54,500000;18,600000;coordinates estimated from map;Present;2008;2010;3;Toxins;Toxins;137Cs content in samples of biological material sampled in the field was measured;no effefcts n species but their effectiveness as bioindicator was investigated;NA;Regulation & Maintenance;Regulation of pollutants;Regulation of toxic substances;P. fucoides can be recommended as a bioindicator for the monitoring of 137Cs contamination due to the high efficiency of bioaccumulation and the available biomass along the depth profile, as well as the occurrence throughout the entire vegetation season;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);;3;3 years and technical replication, results are descriptive
2992;G¢mez-Guzm n, J. M., Holm, E., Enamorado-B ez, S. M., Abril, J. A., Pinto-G¢mez, A. R., L¢pez-Guti‚rrez, J. M., & Garc¡a-Le¢n, M. (2013). Pre- and post-Chernobyl accident levels of 129I and 137Cs in the Southern Baltic Sea by brown seaweed Fucus vesiculosus. Journal of Environmental Radioactivity, 115, 134?142. https://doi.org/10.1016/j.jenvrad.2012.08.007;Reviewer 5; I-129/I-127 ratio in fucis tested to assess effects of Chernobyl accident in Baltic Sea;Include;Include;Fucus as bioindicator;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Pre- and post-Chernobyl accident levels of 129I and 137Cs in the Southern Baltic Sea by brown seaweed Fucus vesiculosus;Field;Observational;Baltic Sea wide;;;from Kattegat to Aland Sea along the Swedish coast and Gotland;Present;1982;1986;5;Toxins;Toxins;data were evaluated in terms of 129I concentrations, 129I/127I and 129I/137Cs ratios;Fucus used as bioindicator;NA;Regulation & Maintenance;Regulation of pollutants;Regulation of toxic substances;High levels of 129I and 129I/127I in the Kattegat gradually decrease to the Baltic Sea indicating that the most important contribution to the 129I inventory in the Baltic Sea area comes from Sellafield and La Hague reprocessing plants. With respect to Chernobyl accident, 129I concentrations in samples collected in 1986 were not much higher than those expected in less contaminated samples from 1982. This supports the view that the contribution of the Chernobyl accident to 129I in the Baltic region was not significant.;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);;33;33 sites in the Baltc Sea, results descirptive and as ratios/mean/sd
3061;Rantam„ki, P. (1997). Release and retention of selected polycyclic aromatic hydrocarbons (PAH) and their methylated derivatives by the common mussel () in the brackish water of the Baltic Sea. Chemosphere, 35(3), 487?502. https://doi.org/10.1016/s0045-6535(97)00114-8;Reviewer 5;Release and retention of selected polycyclic aromatic hydrocarbons of mytilus, relevant?;Include;Include;release and retention of PAH in mussels;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;release and retention of PAH in mussels;Field;Experiment;Aland Sea;60,116667;21,816667;;Present;1883;1884;2;Toxins;Toxins;Naphthalene, phenanthrene, fluoranthene, pyrene, methylnaphthalene, dimethylnaphthalene and methylphenanthrene were used in the study. Exposure was conducted in the laboratory and mussels were taken into the sea for the release of hydrocarbons.;The PAH were initially released rapidly from the mussels, then slower phase followed;NA;Regulation & Maintenance;Regulation of pollutants;Regulation of toxic substances;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Indirect;2;Indirect;;;english;4;OTHER (make notes);;>120 animals per group;descriptive
3067;Smolarz, K., & Bradtke, K. (2011). Bioindicative potential of shell abnormalities occurring in the clam Macoma balthica (L.) from the Baltic Sea. Marine Pollution Bulletin, 62(7), 1421?1426. https://doi.org/10.1016/j.marpolbul.2011.04.031;Reviewer 5;use of described SDs as initial and cost effective indicators of environmental health;Include;Include;Macoma as bioindicator;Mussel beds;Mussel beds;Macoma;Macoma balthica;Bioindicative potential of shell abnormalities occurring in the clam Macoma balthica;Field;Observational;Western Gotland Basin;58,821927;17,526798;mean of 5 sites;Present;2007;2007;1;Toxins;Toxins;bioindicative potential of observed exoskeleton? anomalies was assessed using a suite of physiological and morphological biomarkers as as initial and cost effective indicators of environmental health.;Spatial differences in the occurrence of deformed clams are reported, with more than 50% of deformed clams inhabiting polluted locations and 8% the reference station.;NA;Regulation & Maintenance;Regulation of pollutants;Regulation of toxic substances;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Indirect;2;Indirect;;;english;5;P-Value;<0.05;5;5 sites, 40 mussels per site
3070;N„f, C., Broman, D., & Axelman, J. (1994). Characterisation of the PAH load outside an aluminium smelter on the Swedish Baltic coast. Science of The Total Environment, 156(2), 109?118. https://doi.org/10.1016/0048-9697(94)90347-6;Reviewer 5;toxins mussels;Include;Include;Mussels as bioindicator;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;Characterisation of the PAH load outside an aluminium smelter on the Swedish Baltic coast;Field;Observational;Bothnian Sea;62,346074;17,421871;mean coordinates of 11 close by sites;Present;1988;1989;2;Toxins;Toxins;The load of polycyclic aromatic hydrocarbons was investigated in a water area outside an aluminium smelter on the Swedish Baltic coast. The load was evaluated in terms of PAH content in settling particulate matter, bottom surface sediments and in bivalves;mussels indicate that there are significantly higher concentrations in the water area outside the smelter, which makes them both good indicator organisms for PAH contamination.;NA;Regulation & Maintenance;Regulation of pollutants;Regulation of toxic substances;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Indirect;2;Indirect;;;english;3;OTHER (make notes);;?;one site with high contamination and one reference site were sampled and concentrations of contaminats was given (descriptive)
3070;N„f, C., Broman, D., & Axelman, J. (1994). Characterisation of the PAH load outside an aluminium smelter on the Swedish Baltic coast. Science of The Total Environment, 156(2), 109?118. https://doi.org/10.1016/0048-9697(94)90347-6;Reviewer 5;toxins mussels;Include;Include;Mussels as bioindicator;Mussel beds;Mussel beds;Macoma;Macoma balthica;Characterisation of the PAH load outside an aluminium smelter on the Swedish Baltic coast;Field;Observational;Bothnian Sea;62,346074;17,421871;mean coordinates of 11 close by sites;Present;1988;1989;2;Toxins;Toxins;The load of polycyclic aromatic hydrocarbons was investigated in a water area outside an aluminium smelter on the Swedish Baltic coast. The load was evaluated in terms of PAH content in settling particulate matter, bottom surface sediments and in bivalves;mussels indicate that there are significantly higher concentrations in the water area outside the smelter, which makes them both good indicator organisms for PAH contamination.;NA;Regulation & Maintenance;Regulation of pollutants;Regulation of toxic substances;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;2;Indirect;2;Indirect;;;english;3;OTHER (make notes);;?;one site with high contamination and one reference site were sampled and concentrations of contaminats was given (descriptive)
18;Michalak, I., & Chojnacka, K. (2010). The technological concept of the production biological feed additives with microelements from seaweeds. Przemysl Chemiczny, 89(4), 486-489.;Reviewer 1 ;about using baltic macroalgae for feed additive;Include;Exclude;could not read as it was in Polish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Idestam-Almquist, J. (1998). Waterfowl Herbivory on Potamogeton pectinatus in the Baltic Sea. Oikos, 81(2), 323. https://doi.org/10.2307/3547052;Reviewer 1 ;it describes factors affecting macrophytes that provide ecosystem services;Include;Exclude;not about algae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
29;Gruenewald, N., & Alban, S. (2007). Seasonal variations of biologically active sulfated polysaccharides extracted from the red alga Delesseria sanguinea (Hudson) Lamouroux from the Baltic Sea.ÿPlanta Medica,ÿ73(09), P_357.;Reviewer 1 ;it describes how a Baltic Sea macroalga can be useful economically;Include;Exclude;no fulltext available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Stadmark, J., & Conley, D. (2012). Response to Rose et al. and Petersen et al. Marine Pollution Bulletin, 64(2), 455?456. https://doi.org/10.1016/j.marpolbul.2011.12.001;Reviewer 1 ;it appears to be about mussel farming in the Baltic Sea;Include;Exclude;review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Jankowska, E., W?odarska-Kowalczuk, M., Kotwicki, L., Balazy, P., & Kuli?ski, K. (2014). Seasonality in vegetation biometrics and its effects on sediment characteristics and meiofauna in Baltic seagrass meadows. Estuarine, Coastal and Shelf Science, 139, 159?170. https://doi.org/10.1016/j.ecss.2014.01.003;Reviewer 1 ;its about Baltic Sea seagrass affecting ecosystem services;Include;Exclude;seagrass in this region was found to actually not provide a service (not effect on other species measured);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Jokinen, H., Wennhage, H., Ollus, V., Aro, E., & Norkko, A. (2016). Juvenile flatfish in the northern Baltic Sea ? long-term decline and potential links to habitat characteristics. Journal of Sea Research, 107, 67?75. https://doi.org/10.1016/j.seares.2015.06.002;Reviewer 1 ;its about macroalgae affecting fisheries;Include;Exclude;its actually about how macroalgae reduce an ecosystem service, not increase it;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Zilius, M., Giordani, G., Petkuviene, J., Lubiene, I., Ruginis, T., & Bartoli, M. (2015). Phosphorus mobility under short-term anoxic conditions in two shallow eutrophic coastal systems (Curonian and Sacca di Goro lagoons). Estuarine, Coastal and Shelf Science, 164, 134?146. https://doi.org/10.1016/j.ecss.2015.07.004;Reviewer 1 ;;Include;Exclude;not closely linked to ecosystems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Rutkoviene, V., & Kusta, A. (2005). Environmental Impact on Nitrate Levels in the Water of Shallow Wells. Polish Journal of Environmental Studies, 14(5).;Reviewer 1 ;;Include;Exclude;not about marine habitats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Kostamo, K., Korpelainen, H., & Olsson, S. (2011). Comparative study on the population genetics of the red algae Furcellaria lumbricalis occupying different salinity conditions. Marine Biology, 159(3), 561?571. https://doi.org/10.1007/s00227-011-1835-z;Reviewer 1 ;;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;J?druch, A., Be?dowska, M., & Graca, B. (2018). Seasonal variation in accumulation of mercury in the benthic macrofauna in a temperate coastal zone (Gulf of Gda?sk). Ecotoxicology and Environmental Safety, 164, 305?316. https://doi.org/10.1016/j.ecoenv.2018.08.040;Reviewer 1 ;Its about bottom fauna accumulating pollution, probably includes mussels;Include;Exclude;not about target species;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;Brenner, M., Broeg, K., Wilhelm, C., Buchholz, C., & Koehler, A. (2012). Effect of air exposure on lysosomal tissues of Mytilus edulis L. from natural intertidal wild beds and submerged culture ropes. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 161(3), 327?336. https://doi.org/10.1016/j.cbpa.2011.12.001;Reviewer 1 ;about factors affecting mussel health, with ecosystem service implications;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Boberg, G., Ganning, B., & Ytterborn, K. H. (1986). Distribution and biomass of Fucus vesiculosus L. near a cooling-water effluent from a nuclear power plant in the Baltic Sea estimated by aerial photography. International Journal of Remote Sensing, 7(12), 1797?1807. https://doi.org/10.1080/01431168608948970;Reviewer 1 ;about distribution of macroalgae with ecosystem service implications;Include;Exclude;only very limited ecosystem service implications;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;"Burlakova, L. E., Karatayev, A. Y., & Padilla, D. K. (2000). The Impact ofDreissena polymorpha (Pallas) Invasion on Unionid Bivalves. International Review of Hydrobiology, 85(5?6), 529?541. https://doi.org/10.1002/1522-2632(200011)85:5/6<529::aid-iroh529>3.0.co;2-o";Reviewer 1 ;about invasive mussels affecting native biodiversity;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;Schories, D., Pehlke, C., & Selig, U. (2009). Depth distributions of Fucus vesiculosus L. and Zostera marina L. as classification parameters for implementing the European Water Framework Directive on the German Baltic coast. Ecological Indicators, 9(4), 670?680. https://doi.org/10.1016/j.ecolind.2008.08.010;Reviewer 1 ;its about factors affecting seagrass with ecosystem service implications;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;Wood, H. L., Nylund, G., & Eriksson, S. P. (2014). Physiological plasticity is key to the presence of the isopod Idotea baltica (Pallas) in the Baltic Sea. Journal of Sea Research, 85, 255?262. https://doi.org/10.1016/j.seares.2013.05.009;Reviewer 1 ;its about macroalgae as an ecosystem food source;Include;Exclude;not closely related to the target species;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;Hillebrand, H., Soininen, J., & Snoeijs, P. (2010). Warming leads to higher species turnover in a coastal ecosystem. Global Change Biology, 16(4), 1181?1193. https://doi.org/10.1111/j.1365-2486.2009.02045.x;Reviewer 1 ;about temperature changes affectnig macroalgae with ecosystem service implications;Include;Exclude;not closely related to the target species;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;Bryhn, A. C., Lundstr”m, K., Johansson, A., Ragnarsson Stabo, H., & Sved„ng, H. (2016). A continuous involvement of stakeholders promotes the ecosystem approach to fisheries in the 8-fjords area on the Swedish west coast. ICES Journal of Marine Science, 74(1), 431?442. https://doi.org/10.1093/icesjms/fsw217;Reviewer 1 ;about decline in eelgrass meadows with ecosystem service implications;Include;Exclude;is a review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;Gunnarsson, J., Bj”rk, M., Gilek, M., Granberg, M., & Rosenberg, R. (2000). Effects of Eutrophication on Contaminant Cycling in Marine Benthic Systems. AMBIO: A Journal of the Human Environment, 29(4), 252?259. https://doi.org/10.1579/0044-7447-29.4.252;Reviewer 1 ;its about bioaccumulation of pollution in mussels;Include;Exclude;it?s a review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;Marchowski, D., Jankowiak, ?., & Wysocki, D. (2016). Newly demonstrated foraging method of Herring Gulls and Mew Gulls with benthivorous diving ducks during the nonbreeding period. The Auk, 133(1), 31?40. https://doi.org/10.1642/auk-15-62.1;Reviewer 1 ;about mussels as food for birds;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;Busse, S., & Snoeijs, P. (2002). Gradient responses of diatom communities in the Bothnian Bay, northern Baltic Sea. Nova Hedwigia, 74(3), 501?525. https://doi.org/10.1127/0029-5035/2002/0074-0501;Reviewer 1 ;about macroalgae affecting biodiversity of epiphytes;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Vahteri, P., O?Brien, K., & Vuorinen, I. (2009). Zonation and spatial distribution of littoral fish communities from the southwestern Finnish coast (Archipelago and Bothnian Sea, Northern Baltic Sea). Estuarine, Coastal and Shelf Science, 82(1), 35?40. https://doi.org/10.1016/j.ecss.2008.11.016;Reviewer 1 ;it is about vegetation effects, which may involve macroalgae;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;Reisalu, G., Kotta, J., Herkl, K., & Kotta, I. (2016). The invasive amphipod Gammarus tigrinus Sexton, 1939 displaces native gammarid amphipods from sheltered macrophyte habitats of the Gulf of Riga. Aquatic Invasions, 11(1), 45?54. https://doi.org/10.3391/ai.2016.11.1.05;Reviewer 1 ;about macroalgae being used by native amphipods;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;Nordstr”m, M., & Booth, D. M. (2007). Drift algae reduce foraging efficiency of juvenile flatfish. Journal of Sea Research, 58(4), 335?341. https://doi.org/10.1016/j.seares.2007.08.001;Reviewer 1 ;about macroalgae affecting fish;Include;Exclude;its about how macroalgal actually reduces not improves an ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;Tiews, K. (1985). Importance and possibilities for aquaculture in the North Sea and Baltic. Berichte ueber Landwirtschaft (Germany, FR).;Reviewer 1 ;probably has info about mussel aquaculture;Include;Exclude;could not read it as it was in German;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;Blomster, J., Back, S., Fewer, D. P., Kiirikki, M., Lehvo, A., Maggs, C. A., & Stanhope, M. J. (2002). Novel morphology in Enteromorpha (Ulvophyceae) forming green tides. American Journal of Botany, 89(11), 1756?1763. https://doi.org/10.3732/ajb.89.11.1756;Reviewer 1 ;about factors affecting ecologically important macroalgae;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;Nasrolahi, A., Stratil, S. B., Jacob, K. J., & Wahl, M. (2012). A protective coat of microorganisms on macroalgae: inhibitory effects of bacterial biofilms and epibiotic microbial assemblages on barnacle attachment. FEMS Microbiology Ecology, 81(3), 583?595. https://doi.org/10.1111/j.1574-6941.2012.01384.x;Reviewer 1 ;about macroalgae affecting filterfeeders;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;Vincent, A. C. J., Berglund, A., & Ahnesj”, I. (1995). Reproductive ecology of five pipefish species in one eelgrass meadow. Environmental Biology of Fishes, 44(4), 347?361. https://doi.org/10.1007/bf00008250;Reviewer 1 ;about seagrass used for fish breeding;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;Norkko, A., & Bonsdorff, E. (1996). Rapid zoobenthic community responses to accumulations of drifting algae. Marine Ecology Progress Series, 131, 143?157. https://doi.org/10.3354/meps131143;Reviewer 1 ;about drift algae affecting macrofauna;Include;Exclude;its about how macroalgal actually reduces not improves an ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;Hasselstr”m, L., Visch, W., Gr”ndahl, F., Nylund, G. M., & Pavia, H. (2018). The impact of seaweed cultivation on ecosystem services - a case study from the west coast of Sweden. Marine Pollution Bulletin, 133, 53?64. https://doi.org/10.1016/j.marpolbul.2018.05.005;Reviewer 1 ;about seaweed cultivation and ecosystem services;Include;Exclude;it?s a review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;Lindahl, O., & Kollberg, S. (2009). Can the EU agri-environmental aid program be extended into the coastal zone to combat eutrophication? Hydrobiologia, 629(1), 59?64. https://doi.org/10.1007/s10750-009-9771-3;Reviewer 1 ;about mussel farming for eutrophication control;Include;Exclude;it?s a review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;Snoejjs, P., & MURASI, L. W. (2004). Symbiosis between diatoms and cyanobacterial colonies. Vie et milieu (1980), 54(2-3), 163-169.;Reviewer 1 ;about epiphytes on macroalgae;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
366;B„ck, S., Collins, J. C., & Russell, G. (1991). Aspects of the reproductive biology of Fucus vesiculosus from the coast of SW Finland. Ophelia, 34(2), 129-141.;Reviewer 1 ;about environmental conditions affecting macroalgae reproduction with ecosystem service implications;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;Mangialajo, L., Ruggieri, N., Asnaghi, V., Chiantore, M., Povero, P., & Cattaneo-Vietti, R. (2007). Ecological status in the Ligurian Sea: The effect of coastline urbanisation and the importance of proper reference sites. Marine Pollution Bulletin, 55(1?6), 30?41. https://doi.org/10.1016/j.marpolbul.2006.08.022;Reviewer 1 ;about macroalgae with ecosystem services being affected by pressures;Include;Exclude;not from Baltic Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;Sole, M., Peters, L. D., Magnusson, K., Sjolin, A., Granmo, A., & Livingstone, D. R. (1998). Responses of the cytochrome P450 dependent monooxygenase and other protective enzyme systems in digestive gland of transplanted common mussel Mytilus edulis L. to organic contaminants in the Skagerrak and Kattegat (North Sea). Biomarkers, 3(1), 49?62. https://doi.org/10.1080/135475098231363;Reviewer 1 ;about mussels as a bioindicator of pollution;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;H„gerstrand, H., Himberg, M., Saks, L., & Verliin, A. (2018). Stomach content of whitefish, Coregonus lavaretus (Actinopterygii: Salmoniformes: Salmonidae), off the land Islands, Baltic Sea. Acta Ichthyologica et Piscatoria, 48(1), 71?74. https://doi.org/10.3750/aiep/02260;Reviewer 1 ;about mussels as food for fish;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428;Feiz, R., & Ammenberg, J. (2017). Assessment of feedstocks for biogas production, part I?A multi-criteria approach. Resources, Conservation and Recycling, 122, 373?387. https://doi.org/10.1016/j.resconrec.2017.01.019;Reviewer 1 ;in part 2 of this article is info about mussels for biogas;Include;Exclude;the finding was that mussels are not well suited for this service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
453;Rosqvist, K., Mattila, J., Sandstr”m, A., Snickars, M., & Westerbom, M. (2010). Regime shifts in vegetation composition of Baltic Sea coastal lagoons. Aquatic Botany, 93(1), 39?46. https://doi.org/10.1016/j.aquabot.2010.03.002;Reviewer 1 ;about factors affecting macroalgae with ecosystem service implications;Include;Exclude;mostly not about any target species;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
455;Schramm, W. (1999). Journal of Applied Phycology, 11(1), 69?78. https://doi.org/10.1023/a:1008076026792;Reviewer 1 ;about factors affecting macroalgae with ecosystem service implications;Include;Exclude;review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
461;Vahteri, P., M„kinen, A., Salovius, S., & Vuorinen, I. (2000). Are Drifting Algal Mats Conquering the Bottom of the Archipelago Sea, SW Finland? AMBIO: A Journal of the Human Environment, 29(6), 338?343. https://doi.org/10.1579/0044-7447-29.6.338;Reviewer 1 ;about drift algae that affect macrofauna;Include;Exclude;its about how macroalgae actually reduces not improves an ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
485;Skabeikis, A., & Lesutien?, J. (2015). Feeding activity and diet composition of round goby (Neogobius melanostomus, Pallas 1814) in the coastal waters of SE Baltic Sea. Oceanological and Hydrobiological Studies, 44(4). https://doi.org/10.1515/ohs-2015-0048;Reviewer 1 ;about mussels as food for fish;Include;Exclude;not closely related to ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
492;Glockzin, M., & Zettler, M. L. (2008). Spatial macrozoobenthic distribution patterns in relation to major environmental factors- A case study from the Pomeranian Bay (southern Baltic Sea). Journal of Sea Research, 59(3), 144?161. https://doi.org/10.1016/j.seares.2008.01.002;Reviewer 1 ;probably contains info about the focus species and their ecosystem services;Include;Exclude;not about the target species;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529;Gylle, A. M., Isaksson, D., & Ekelund, N. (2005). The concentrations of mannitol in Fucus vesiculosus as a response to different salinities.;Reviewer 1 ;about compounds from algae;Include;Exclude;No full text available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;Nasrolahi, A., Pansch, C., Lenz, M., & Wahl, M. (2013). Temperature and salinity interactively impact early juvenile development: a bottleneck in barnacle ontogeny. Marine Biology, 160(5), 1109?1117. https://doi.org/10.1007/s00227-012-2162-8;Reviewer 2;;Include;Exclude;No target habitats investigated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
647;Zhou, Y., Li, Y.-S., Zhi, B.-H., Lu, S.-Y., Ren, H.-L., Zhang, Y.-Y., Li, Z.-H., Shen, Q.-F., Meng, X.-M., Liu, Z.-S., Zhang, J.-H., Hao, Y.-M., Liu, W.-D., Song, F., & Yan, D.-M. (2011). Detection of nodularin based on a monoclonal antibody in water and aquatic fish samples. Food Control, 22(5), 797?800. https://doi.org/10.1016/j.foodcont.2010.08.006;Reviewer 2;;Include;Exclude;Not in Baltic sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
649;Laursen, K., & M›ller, A. P. (2014). Long-Term Changes in Nutrients and Mussel Stocks Are Related to Numbers of Breeding Eiders Somateria mollissima at a Large Baltic Colony. PLoS ONE, 9(4), e95851. https://doi.org/10.1371/journal.pone.0095851;Reviewer 2;;Include;Exclude;Not in Baltic sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
661;H„der, D. P. (1997). Penetration and effects of solar UV-B on phytoplankton and macroalgae. In UV-B and Biosphere (pp. 4-13). Springer, Dordrecht.;Reviewer 2;;Include;Exclude;Focus on short wavelenghth radiation and very poorly written piece in general;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
665;Dmytryk, A., Roj, E., Wilk, R., Chojnacka, K., & Gorecki, H. (2014). Effect of new biostimulators on the initial phase of plant growth. Przemysl Chemiczny, 93(6), 1020-1025.;Reviewer 2;;Include;Exclude;Written in polish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
675;Ojaveer, H., & Kotta, J. (2014). Ecosystem impacts of the widespread non-indigenous species in the Baltic Sea: literature survey evidences major limitations in knowledge. Hydrobiologia, 750(1), 171?185. https://doi.org/10.1007/s10750-014-2080-5;Reviewer 2;;Include;Exclude;Review paper (categorising paper) nothing for me to extract or categorise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
